season,team,playoffs,total_points,field_goals_percent,three_points_percent,two_points_percent,free_throw_percent,total_rebound,assist,steal,block,turnover,personal_foul
2017,WAS,1,8953,0.475,0.372,0.515,0.784,3514,1956,693,336,1162,1745
2016,ATL,1,8433,0.458,0.35,0.512,0.783,3451,2100,747,486,1226,1570
2016,BOS,1,8669,0.439,0.335,0.483,0.788,3683,1981,752,348,1127,1796
2016,BRK,0,8089,0.453,0.352,0.481,0.757,3477,1829,627,332,1212,1476
2016,CHI,0,8335,0.441,0.371,0.464,0.787,3796,1870,495,470,1141,1545
2016,CHO,1,8479,0.439,0.362,0.479,0.79,3603,1778,595,438,1030,1487
2016,CLE,1,8555,0.46,0.362,0.514,0.748,3650,1861,551,317,1114,1666
2016,DAL,1,8388,0.444,0.344,0.495,0.794,3532,1813,560,306,1047,1595
2016,DEN,0,8355,0.442,0.338,0.482,0.766,3659,1858,609,395,1202,1723
2016,DET,1,8361,0.439,0.345,0.48,0.668,3798,1594,573,304,1110,1557
2016,GSW,1,9421,0.487,0.416,0.528,0.763,3788,2373,689,498,1245,1701
2016,HOU,1,8737,0.452,0.347,0.514,0.694,3531,1821,821,430,1307,1790
2016,IND,1,8377,0.45,0.351,0.486,0.764,3626,1741,742,391,1219,1641
2016,LAC,1,8569,0.465,0.364,0.513,0.692,3448,1873,709,460,1063,1746
2016,LAL,0,7982,0.414,0.317,0.454,0.781,3523,1478,593,337,1124,1662
2016,MEM,1,8126,0.44,0.331,0.471,0.783,3413,1697,724,350,1090,1783
2016,MIA,1,8204,0.47,0.336,0.508,0.744,3618,1709,553,531,1155,1502
2016,MIL,0,8122,0.467,0.345,0.495,0.747,3417,1895,672,475,1247,1695
2016,MIN,0,8398,0.464,0.338,0.496,0.792,3408,1916,656,375,1231,1696
2016,NOP,0,8423,0.448,0.36,0.482,0.776,3494,1818,633,342,1102,1713
2016,NYK,0,8065,0.439,0.346,0.471,0.805,3638,1682,467,466,1099,1616
2016,OKC,1,9038,0.476,0.349,0.524,0.782,3987,1883,603,487,1305,1691
2016,ORL,0,8369,0.455,0.35,0.492,0.757,3552,1933,673,417,1155,1701
2016,PHI,0,7988,0.431,0.339,0.476,0.694,3382,1765,680,495,1343,1780
2016,PHO,0,8271,0.435,0.348,0.472,0.751,3676,1701,632,313,1410,1858
2016,POR,1,8622,0.45,0.37,0.49,0.754,3730,1748,562,380,1200,1782
2016,SAC,0,8740,0.464,0.359,0.5,0.725,3628,2009,733,368,1326,1676
2016,SAS,1,8490,0.484,0.375,0.515,0.803,3601,2010,677,485,1071,1433
2016,TOR,1,8422,0.451,0.37,0.483,0.777,3560,1536,636,449,1073,1610
2016,UTA,0,8010,0.449,0.355,0.488,0.744,3545,1555,631,425,1224,1655
2016,WAS,0,8534,0.46,0.358,0.501,0.73,3431,2005,708,323,1186,1708
2015,ATL,1,8409,0.466,0.38,0.506,0.778,3326,2111,744,380,1167,1457
2015,BOS,1,8312,0.443,0.327,0.488,0.754,3595,2009,674,294,1133,1738
2015,BRK,1,8038,0.451,0.331,0.489,0.748,3473,1716,576,340,1133,1579
2015,CHI,1,8265,0.442,0.353,0.474,0.783,3751,1781,514,476,1145,1495
2015,CHO,0,7721,0.42,0.318,0.45,0.748,3613,1654,499,448,976,1494
2015,CLE,1,8457,0.458,0.367,0.504,0.751,3523,1814,603,340,1171,1510
2015,DAL,1,8628,0.463,0.352,0.509,0.752,3466,1846,663,371,1062,1644
2015,DEN,0,8320,0.433,0.325,0.476,0.734,3665,1788,641,367,1166,1882
2015,DET,0,8077,0.432,0.344,0.468,0.703,3681,1771,623,383,1099,1559
2015,GSW,1,9016,0.478,0.398,0.514,0.768,3667,2248,762,496,1185,1628
2015,HOU,1,8522,0.444,0.348,0.506,0.715,3582,1820,777,407,1366,1803
2015,IND,0,7981,0.439,0.352,0.469,0.756,3678,1757,505,375,1147,1742
2015,LAC,1,8751,0.473,0.376,0.519,0.71,3495,2031,640,409,1012,1749
2015,LAL,0,8073,0.435,0.344,0.461,0.741,3599,1715,578,366,1086,1741
2015,MEM,1,8062,0.458,0.339,0.485,0.773,3490,1777,700,347,1094,1567
2015,MIA,0,7764,0.456,0.335,0.499,0.741,3208,1626,642,372,1214,1636
2015,MIL,1,8023,0.459,0.363,0.486,0.757,3450,1932,789,403,1373,1814
2015,MIN,0,8016,0.438,0.332,0.461,0.776,3355,1771,668,327,1231,1571
2015,NOP,1,8147,0.457,0.37,0.484,0.751,3563,1806,553,510,1087,1530
2015,NYK,0,7535,0.428,0.347,0.454,0.769,3310,1746,575,382,1206,1768
2015,OKC,0,8524,0.447,0.339,0.486,0.754,3896,1681,598,454,1205,1829
2015,ORL,0,7847,0.453,0.347,0.486,0.729,3429,1692,647,314,1221,1714
2015,PHI,0,7542,0.408,0.32,0.449,0.676,3514,1683,789,487,1453,1778
2015,PHO,0,8397,0.452,0.341,0.497,0.76,3539,1659,700,385,1238,1744
2015,POR,1,8429,0.45,0.362,0.491,0.801,3760,1799,525,372,1117,1494
2015,SAC,0,8310,0.455,0.341,0.484,0.762,3623,1667,550,324,1333,1696
2015,SAS,1,8461,0.468,0.367,0.505,0.78,3578,2000,657,444,1146,1564
2015,TOR,1,8527,0.455,0.352,0.499,0.787,3407,1701,615,357,1057,1712
2015,UTA,0,7801,0.447,0.343,0.486,0.721,3605,1632,623,489,1256,1583
2015,WAS,1,8080,0.462,0.36,0.488,0.742,3663,1969,601,378,1233,1707
2014,ATL,1,8282,0.458,0.363,0.502,0.781,3278,2041,680,326,1251,1577
2014,BOS,0,7892,0.435,0.333,0.47,0.777,3485,1726,584,343,1261,1743
2014,BRK,1,8079,0.459,0.369,0.497,0.753,3128,1714,705,311,1191,1777
2014,CHA,1,7942,0.442,0.351,0.468,0.737,3500,1778,499,421,1010,1493
2014,CHI,1,7680,0.432,0.348,0.456,0.779,3620,1860,594,424,1223,1565
2014,CLE,0,8054,0.437,0.356,0.461,0.751,3618,1738,579,304,1163,1640
2014,DAL,1,8597,0.474,0.384,0.508,0.795,3354,1935,704,356,1110,1636
2014,DEN,0,8559,0.447,0.358,0.481,0.726,3726,1838,615,459,1305,1890
2014,DET,0,8286,0.447,0.321,0.483,0.67,3721,1714,687,395,1193,1666
2014,GSW,1,8549,0.462,0.38,0.496,0.753,3715,1912,642,407,1247,1784
2014,HOU,1,8829,0.472,0.358,0.529,0.712,3717,1755,621,461,1323,1676
2014,IND,1,7933,0.449,0.357,0.477,0.779,3665,1651,550,446,1237,1675
2014,LAC,1,8850,0.474,0.352,0.525,0.73,3526,2016,703,397,1136,1767
2014,LAL,0,8442,0.45,0.381,0.478,0.757,3365,2006,611,446,1239,1627
2014,MEM,1,7884,0.464,0.353,0.487,0.741,3476,1792,631,375,1124,1568
2014,MIA,1,8380,0.501,0.364,0.558,0.76,3024,1847,732,367,1212,1596
2014,MIL,0,7829,0.438,0.353,0.464,0.747,3370,1760,541,403,1238,1713
2014,MIN,0,8768,0.444,0.341,0.478,0.778,3668,1963,718,297,1142,1504
2014,NOP,0,8177,0.459,0.373,0.479,0.769,3419,1745,647,523,1129,1857
2014,NYK,0,8084,0.449,0.372,0.482,0.761,3307,1641,631,367,1063,1815
2014,OKC,1,8705,0.471,0.361,0.512,0.806,3668,1794,678,501,1256,1858
2014,ORL,0,7914,0.445,0.353,0.474,0.763,3448,1726,630,350,1222,1678
2014,PHI,0,8155,0.435,0.312,0.477,0.71,3505,1791,765,330,1384,1844
2014,PHO,0,8629,0.463,0.372,0.503,0.758,3529,1563,688,374,1258,1798
2014,POR,1,8753,0.45,0.372,0.481,0.815,3808,1904,454,387,1125,1576
2014,SAC,0,8241,0.447,0.333,0.479,0.759,3646,1547,587,318,1249,1849
2014,SAS,1,8639,0.486,0.397,0.517,0.785,3548,2064,604,420,1180,1495
2014,TOR,1,8305,0.445,0.372,0.475,0.782,3487,1737,577,343,1159,1882
2014,UTA,0,7791,0.444,0.344,0.474,0.747,3381,1664,570,366,1200,1699
2014,WAS,1,8254,0.459,0.38,0.485,0.731,3459,1909,668,377,1204,1675
